,ethnic origin,baseline_share,min_proba,min_distance,max_entropy,N_samples,sample_share
4,4,0.06225059856344772,0,0.2,10,116,0.05
5,5,0.06424581005586592,0,0.2,10,147,0.06336206896551724
6,6,0.06544293695131684,0,0.2,10,160,0.06896551724137931
7,7,0.057063048683160415,0,0.2,10,151,0.06508620689655173
8,8,0.060654429369513166,0,0.2,10,138,0.059482758620689656
9,9,0.060654429369513166,0,0.2,10,151,0.06508620689655173
10,10,0.05905826017557861,0,0.2,10,145,0.0625
11,11,0.06025538707102953,0,0.2,10,137,0.059051724137931035
12,12,0.036312849162011177,0,0.2,10,78,0.03362068965517241
13,13,0.057063048683160415,0,0.2,10,123,0.05301724137931035
14,14,0.05865921787709497,0,0.2,10,146,0.06293103448275862
15,15,0.06225059856344772,0,0.2,10,121,0.052155172413793104
16,16,0.05905826017557861,0,0.2,10,124,0.05344827586206897
0,0,0.05865921787709497,0,0.2,2,149,0.06441850410722005
1,1,0.05826017557861133,0,0.2,2,149,0.06441850410722005
2,2,0.05746209098164405,0,0.2,2,120,0.05188067444876784
3,3,0.06264964086193137,0,0.2,2,162,0.07003891050583658
4,4,0.06225059856344772,0,0.2,2,115,0.04971897968006917
5,5,0.06424581005586592,0,0.2,2,146,0.06312148724600086
6,6,0.06544293695131684,0,0.2,2,160,0.06917423259835712
7,7,0.057063048683160415,0,0.2,2,151,0.06528318201469953
8,8,0.060654429369513166,0,0.2,2,138,0.05966277561608301
9,9,0.060654429369513166,0,0.2,2,151,0.06528318201469953
10,10,0.05905826017557861,0,0.2,2,145,0.06268914829226113
11,11,0.06025538707102953,0,0.2,2,137,0.059230436662343275
12,12,0.036312849162011177,0,0.2,2,77,0.03329009943795936
13,13,0.057063048683160415,0,0.2,2,123,0.05317769130998703
14,14,0.05865921787709497,0,0.2,2,146,0.06312148724600086
15,15,0.06225059856344772,0,0.2,2,121,0.05231301340250757
16,16,0.05905826017557861,0,0.2,2,123,0.05317769130998703
0,0,0.05865921787709497,0,0.2,1.75,145,0.0635407537248028
1,1,0.05826017557861133,0,0.2,1.75,148,0.06485539000876424
2,2,0.05746209098164405,0,0.2,1.75,118,0.051709027169149865
3,3,0.06264964086193137,0,0.2,1.75,161,0.0705521472392638
4,4,0.06225059856344772,0,0.2,1.75,111,0.04864154250657318
5,5,0.06424581005586592,0,0.2,1.75,141,0.061787905346187555
6,6,0.06544293695131684,0,0.2,1.75,159,0.06967572304995617
7,7,0.057063048683160415,0,0.2,1.75,149,0.06529360210341806
8,8,0.060654429369513166,0,0.2,1.75,137,0.0600350569675723
9,9,0.060654429369513166,0,0.2,1.75,151,0.06617002629272568
10,10,0.05905826017557861,0,0.2,1.75,144,0.06310254163014899
11,11,0.06025538707102953,0,0.2,1.75,136,0.05959684487291849
12,12,0.036312849162011177,0,0.2,1.75,76,0.033304119193689745
13,13,0.057063048683160415,0,0.2,1.75,121,0.053023663453111304
14,14,0.05865921787709497,0,0.2,1.75,144,0.06310254163014899
